Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Geschichte	Die FH Bielefeld wurde am 1. August 1971 gegründet und gehört somit zu den Fachhochschulen der ersten Gründungswelle in Deutschland. Walter Wolff wurde vom Ministerium für Wissenschaft und Forschung zunächst zum kommissarischen Rektor ernannt. Zum ersten Rektor der FH Bielefeld wurde dann Germanus Wegmann bestellt. Mit der Gründung entstand auch der Standort Minden. Wie damals üblich schlossen sich vorhandene Ausbildungseinrichtungen zu einer Fachhochschule zusammen. Im Fall der FH Bielefeld waren dies:\n\n Staatliche Ingenieurschule für Maschinenwesen in Bielefeld \n\n Werkkunstschule Bielefeld bzw. [Handwerker- und Kunstgewerbeschule Bielefeld](https://de.wikipedia.org/wiki/Handwerker-_und_Kunstgewerbeschule_Bielefeld \"Handwerker- und Kunstgewerbeschule Bielefeld\") \n\n Landeshauptmann-Salzmann-Schule/ Höhere Fachschule für Sozialarbeit \n\n Paritätische Sozialseminar/ Höhere Fachschule für Sozialarbeit \n\n Staatliche Höhere Wirtschaftsschule Bielefeld \n\n Staatliche Ingenieurschule für Bauwesen Minden \n\nIm September 2010 wurde der Studienort Gütersloh in der Schulstraße 10 offiziell eröffnet.	Editorial		[]	false	[]	1
Struktur	Die FH Bielefeld hat fünf Fachbereiche\n\n Fachbereich Gestaltung \n\n Fachbereich Campus Minden \n\n Fachbereich Ingenieurwissenschaften und Mathematik \n\n Fachbereich Sozialwesen \n\n Fachbereich Wirtschaft und Gesundheit	Editorial		[]	false	[]	2
Standorte Bielefeld	Die Fachhochschule hat in Bielefeld drei Standorte. Bielefeld ist der größte Standort und Hauptsitz der FH Bielefeld.\n\nInteraktion 1 ⊙52.0442088.493296\n\nLampingstraße 3 ⊙52.0279898.511508\nUniversitätsstraße 27 ⊙52.039278.49089\n\n	Editorial		[]	false	[]	3
Minden	Am [Campus Minden](https://de.wikipedia.org/wiki/Campus_Minden \"Campus Minden\") [⊙](https://tools.wmflabs.org/geohack/geohack.php?params=52.296258_N_8.906125_E_region:DE-NW_type:landmark&pagename=Fachhochschule_Bielefeld&language=de&title=Fachhochschule+Bielefeld%2C+Campus+Minden)52.2962588.906125 sind über 1.600 Studierende eingeschrieben (Stand: Wintersemester 2014/15). Hier werden elf Studiengänge mit den Schwerpunkten Architektur und Bauingenieurwesen, Technik sowie Pflege und Gesundheit angeboten. Die Lehre findet in verschiedenen Gebäuden in der Artilleriestraße 9 statt. Die ehemalige Artilleriekaserne, in der sich Seminarräume, Hörsäle, Labore, Büros und eine Mensa befinden, wurde von 1996 bis 2002 vollständig unter den Gesichtspunkten des Denkmalschutzes saniert und renoviert. Im Juli 2015 wurde ein Neubau auf dem Campus in Betrieb genommen, in dem die Campus-Bibliothek, die Mensa, sowie Seminarräume, Labore und Büros untergebracht sind.	Editorial		[]	false	[]	4
Gütersloh	Im September 2010 wurde der Studienort [Gütersloh](https://de.wikipedia.org/wiki/G%C3%BCtersloh \"Gütersloh\") [⊙](https://tools.wmflabs.org/geohack/geohack.php?params=51.908746_N_8.379782_E_region:DE-NW_type:landmark&pagename=Fachhochschule_Bielefeld&language=de&title=Fachhochschule+Bielefeld%2C+Studienort+G%C3%BCtersloh)51.9087468.379782 in der Schulstraße 10 eröffnet, der dem Fachbereich Ingenieurwissenschaften und Mathematik zugeordnet ist. Derzeit studieren etwa 330 junge Menschen in Gütersloh in den praxisintegrierten Bachelorstudiengängen Wirtschaftsingenieurwesen, Mechatronik/Automatisierung, Digitale Logistik, Digitale Technologien und Product-Service Engineering (Stand: 2019). Weitere Angebote sind die berufsbegleitenden Masterstudiengänge Angewandte Automatisierung und Wirtschaftsingenieurwesen. Seit dem Sommersemester 2018 wird vom Fachbereich Wirtschaft und Gesundheit in Gütersloh der berufsbegleitende Bachelorstudiengang Betriebswirtschaft angeboten. Eine maßgebliche Unterstützung erfährt der Studienort durch zwei Stiftungsprofessuren. Eine der Professuren wird finanziert von Hans Beckhoff ([Beckhoff Automation](https://de.wikipedia.org/wiki/Beckhoff_Automation \"Beckhoff Automation\"), Verl), die zweite wird gemeinsam von der Stiftung der Kreissparkasse Wiedenbrück sowie Stadt und [Kreis Gütersloh](https://de.wikipedia.org/wiki/Kreis_G%C3%BCtersloh \"Kreis Gütersloh\") ermöglicht. Im Oktober 2018 wurde der Lehrbetrieb am zweiten Standort am Langen Weg 9a, „Gleis 13“, aufgenommen. In dem Gebäude am ehemaligen Güterbahnhof befinden sich Seminarräume, Büros für die Professoren und Beschäftigten sowie Aufenthalts- und Gruppenarbeitsräume für die Studierenden.	Editorial		[]	false	[]	5
Institut für Bildungs- und Versorgungsforschung im Gesundheitsbereich	Im Institut für Bildungs- und Versorgungsforschung im Gesundheitsbereich (InBVG) arbeiten Forscher der Lehreinheit Pflege und Gesundheit mit verschiedenen Arbeitsschwerpunkten in den Bereichen Pflegewissenschaft, Therapiewissenschaften, den Gesundheitswissenschaften sowie der Berufspädagogik zusammen. In Forschungs- und Entwicklungsprojekten werden Fragen und Herausforderungen des Gesundheitsbereichs erforscht und Handlungskonzepte entwicv	Editorial		[]	false	[]	6
Bielefelder Institut für Angewandte Materialforschung	Das Bielefelder Institut für Angewandte Materialwissenschaften (BIfAM) wurde am 1. Mai 2013 als Forschungsinstitut der Fachhochschule Bielefeld gegründet. Die Forschungsaktivitäten des BIfAM beschäftigen sich einerseits mit Grundlagenuntersuchungen hinsichtlich der physikalischen Eigenschaften neuartiger Materialien, andererseits mit der Verknüpfung, Weiterentwicklung bzw. Industrialisierung grundsätzlich bekannter Methoden und Materialien. Die Forschungsaktivitäten werden durch die drei Kompetenzbereiche \"Anwendung und Test neuer Materialien in der Elektrotechnik und Elektronik\", \"Charakterisierung, Anwendung und Test neuer Konstruktionswerkstoffe\" sowie \"Modellbildung und Simulation\" strukturiert.	Editorial		[]	false	[]	7
Institut für Systemdynamik und Mechatronik	Das Institut für Systemdynamik und Mechatronik (ISyM) strebt eine [synergetische](https://de.wikipedia.org/wiki/Synergiepotenzial \"Synergiepotenzial\") Zusammenarbeit von Ingenieuren des Maschinenbaus, der Elektrotechnik und der Informationstechnik auf den Gebieten modellbasierte Systementwicklung, Systemdynamik und Regelungstechnik sowie Mechatronik an. Zum einen wird in gemeinsamen Projekten das Ziel verfolgt, Methoden und Verfahren weiterzuentwickeln und direkt in die Industrie zu transferieren. Dabei reicht das Angebot von der einfachen Nutzbarmachung und Anwendung der Methoden der modellbasierten Systementwicklung bis hin zur übergeordneten Prozessgestaltung in Unternehmen im Sinne eines durchgängigen domänenübergreifenden Entwicklungsprozesses. Zum anderen umfasst die Forschungsstrategie des Instituts das Ziel, sich langfristig auch gänzlich neue Anwendungs- und Technologiefelder wie bspw. die [Medizintechnik](https://de.wikipedia.org/wiki/Medizintechnik \"Medizintechnik\") oder auch die [Biomechatronik](https://de.wikipedia.org/wiki/Biomechatronik \"Biomechatronik\") zu erschließen.	Editorial		[]	false	[]	8
Fachbereich Sozialwesen	Der Fachbereich Sozialwesen der Fachhochschule Bielefeld bietet die Bachelorstudiengänge Soziale Arbeit und Pädagogik der Kindheit sowie den Masterstudiengang Sozialwissenschaftliche Transformationstudien an.\n\nDie Ausbildung ist als Brücke zwischen Theorie und Praxis konzipiert, der fortlaufende Theorie-Praxis-Transfer daher ein zentrales Element aller Studiengänge. Für alle Bereiche der unterschiedlichen Wissenschaftsrichtungen, aus denen sich ein Studium Sozialer Arbeit oder Pädagogik der Kindheit zusammensetzt, gilt: Wesentliche Bestandteile sind Praxisbezüge in den Seminaren sowie studienbegleitende Praktika. Entsprechend großen Wert legen wir auf eine enge Verzahnung mit den regionalen Einrichtungen der sozialen Arbeit und der Kindheitspädagogik. Nach Erlangung des Bachelors haben Absolventinnen und Absolventen bei unserem Studienmodell die Möglichkeit, im Rahmen eines Berufspraktischen Jahres zur Staatlichen Anerkennung Ihre Fähigkeiten auszubauen und die Berufspraxis kennenzulernen.\n\nDie Lehre ist so weit wie möglich dialogisch und projektorientiert angelegt, so dass die Studierenden nicht nur die Rolle der Aufnehmenden, sondern auch die der aktiv Mitarbeitenden einnehmen. Wenn Studierende über die Grenzen der Bundesrepublik hinaus in der Sozialen Arbeit aktiv werden wollen (Qualifizierungsbereich Global Social Work), unterstützen wir sie gerne dabei, internationale Praktikumsplätze und bundesweite Stellen für das berufspraktische Jahr zu finden. (Mehr Informationen über das Praxisportal)\n\n Aktuelles \n\n[Global Feminism - sehr gut besuchter Workshop mit Gästen aus Chile und Österreich](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/global-feminism-sehr-gut-besuchter-workshop-mit-gaesten-aus-chile-und-oesterreich)\n\nGlobal Feminism - sehr gut besuchter Workshop mit Gästen aus Chile und Österreich während der zweiten Internationalen Woche, organisiert von Cornelia Giebeler\n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/global-feminism-sehr-gut-besuchter-workshop-mit-gaesten-aus-chile-und-oesterreich)\n\n[Neuer Masterstudiengang Sozialwissenschaftliche Transformationsstudien](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/neuer-masterstudiengang-sozialwissenschaftliche-transformationsstudien)\n\nZum Wintersemester 2019/2020 startet der Masterstudiengang Sozialwissenschaftliche Transformationsstudien. Der Studiengang vermittelt theoretische und methodische Kompetenzen im Feld sozialwissenschaftlicher Transformationsforschung. Studienziel: Expertin und Experte für Veränderung\n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/neuer-masterstudiengang-sozialwissenschaftliche-transformationsstudien)\n\n[Neue Studiengangsleitungen in den BA-Studiengängen](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/einladung-zur-teilnahme-probelehrveranstaltungen)\n\nZum Sommersemester 2019 haben im Fachbereich Sozialwesen die Studiengangsleitungen gewechselt. Prof. Dr. Juliane Gerland ist die neue Studiengangsleiterin für die Pädagogik der Kindheit, Prof. Dr. Christian Huppert übernimmt die Studiengangsleitung für den Studiengang Soziale Arbeit.\n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/einladung-zur-teilnahme-probelehrveranstaltungen)\n\n[Ringvorlesung im Sommersemester 2019 „Gesundheitsförderung und Prävention? Quo vadis Kinder- und Jugendhilfe“](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/ringvorlesung-im-sommersemester-2017-diskriminierungs-und-rassismuskritik-in-sozialer-arbeit-und-bildung)\n\nRingvorlesung zur Bilanzierung des 13. Kinder- und Jugendberichts\n\nFachhochschule Bielefeld | Fachbereich Sozialwesen\n\nDienstags von 17:30 – 19:00 Uhr\n\nDie Ringvorlesung ist eingebunden in die Aktivitäten des Fachbereichs Gesundheitsförderung und\n\nPrävention der Deutschen Vereinigung für Soziale Arbeit im Gesundheitswesen e.V. (DVSG).\n\nBegleitend zu der Ringvorlesung erscheint Ende 2019 der Sammelband „Gesundheitsförderung\n\nund Prävention - Quo vadis Kinder- und Jugendhilfe“ im Belts Juventa Verlag.\n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/ringvorlesung-im-sommersemester-2017-diskriminierungs-und-rassismuskritik-in-sozialer-arbeit-und-bildung)\n\n[Kinder Bilder Bücher - Kindliche Perspektiven auf diversitätsbewusste Kinderbücher](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/ansaetze-projekte-trends-in-der-sozialen-arbeit-und-kindheitspaedagogik)\n\nPosterausstellung in Flur B – 2. Etage\n\n**\n\nBücher haben eine wesentliche Bedeutung für das Aufwachsen von Kindern: sie sind wichtig für die Sprach- und Leseentwicklung, Kinder erweitern über Bücher ihren Wissens- und Erfahrungshorizont, sie erfahren Unterstützung in der Bewältigung der eigenen Lebenssituation und... \n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/ansaetze-projekte-trends-in-der-sozialen-arbeit-und-kindheitspaedagogik)\n\n[Hinweis zur Kinderbetreuung](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/hinweis-zur-kinderbetreuung)\n\nIn Fällen, in denen die Zeiten von Lehrveranstaltungen außerhalb der normalen Öffnungszeiten von Kindertagesstätten liegen, kann das für Studierende kostenlose Betreuungsangebot der FH-Betriebskita EffHa genutzt werden.\n\n[Mehr](https://www.fh-bielefeld.de/sozialwesen/neu/aktuelles/hinweis-zur-kinderbetreuung)\n\n Presse \n\n05.03.2019\n\n [Neuberufen am Fachbereich Sozialwesen](https://www.fh-bielefeld.de/presse/pressemitteilungen/neuberufen-am-fachbereich-sozialwesen) \n\nProfessorin Dr. Christiane Schmieder besetzt seit dem 1. Februar die Professur für das Lehrgebiet Zivil- und Strafrecht am Fachbereich Sozialwesen\n\n[Mehr](https://www.fh-bielefeld.de/presse/pressemitteilungen/neuberufen-am-fachbereich-sozialwesen)\n\n13.02.2019\n\n [Studium als Grundlage für die Zukunft](https://www.fh-bielefeld.de/presse/pressemitteilungen/studium-als-grundlage-fuer-die-zukunft) \n\nFachbereich Sozialwesen verabschiedete 133 Absolventinnen und Absolventen\n\n[Mehr](https://www.fh-bielefeld.de/presse/pressemitteilungen/studium-als-grundlage-fuer-die-zukunft)\n\n21.01.2019\n\n [Karrierewege FH-Professur](https://www.fh-bielefeld.de/presse/pressemitteilungen/karrierewege-fh-professur) \n\nFörderanträge der Fachbereiche Ingenieurwissenschaften und Mathematik und Sozialwesen genehmigt\n\n[Mehr](https://www.fh-bielefeld.de/presse/pressemitteilungen/karrierewege-fh-professur)\n\n18.12.2018\n\n [Heizkosten sparen durch moderne Technologie](https://www.fh-bielefeld.de/presse/pressemitteilungen/heizkosten-sparen-durch-moderne-technologie) \n\nForschungsprojekt ENVIRON erhält 1,1 Millionen Euro Förderung vom Bund\n\n[Mehr](https://www.fh-bielefeld.de/presse/pressemitteilungen/heizkosten-sparen-durch-moderne-technologie)\n\n30.11.2018\n\n [Studierende und Einrichtungen zusammenbringen](https://www.fh-bielefeld.de/presse/filter-fb/studierende-und-einrichtungen-zusammenbringen) \n\n150 Aussteller informierten beim 8. Praxistag des Fachbereichs Sozialwesen\n\n[Mehr](https://www.fh-bielefeld.de/presse/filter-fb/studierende-und-einrichtungen-zusammenbringen)\n\n[Weitere Pressemitteilungen](https://www.fh-bielefeld.de/sozialwesen/neu/archiv)	Editorial		[]	false	[]	9
Studienorientierung	Berufs- und Studienorientierung ist ein komplexer Prozess. Die FH Bielefeld unterstützt und begleitet Studieninteressierte in den verschiedenen Phasen der Orientierung und Studienwahlentscheidung mit zahlreichen Angeboten. \n\nStudienwahl ist ein Prozess**\n\nDie Entscheidung für einen Studiengang ist ein umfassender Prozess, bei dem viele Aspekte berücksichtigt werden sollten. Viele Studieninteressierte sehen sich vor einem Dschungel an Informationen und wissen oft nicht, wo anzufangen ist. Fragen wie “Welche Studiengänge gibt es überhaupt?“, „Was interessiert mich eigentlich?“ und „Wie finde ich eigentlich heraus, welche Studiengang zu mir passt?“  tauchen häufig auf.\n\nDamit Sie die Entscheidung für oder gegen ein Studium nicht aus Zeitnot heraus treffen, ist es ratsam, sich frühzeitig mit der Studiengangwahl zu beschäftigen. Dabei sollten Sie nicht vergessen: Es gibt keine perfekte oder einzig richtige Wahl! Jeder und jede ist für mehr als einen Studiengang oder Beruf geeignet. Wichtig ist, dass Sie mit Neugierde und Spaß Ihre Orientierung beginnen. Und falls es doch nicht passt: Die Studienwahl ist eine Entscheidung, die sich korrigieren lässt.\n\nWie kann dieser Prozess gestaltet werden? **\n\nUm die Studienorientierung etwas übersichtlicher zu machen, haben wir Ihnen mögliche Schritte zusammengestellt. Diese sollten manchmal wiederholt werden. Vielleicht sind aber auch nur einzelne Teile des Prozesses für Sie relevant.\n\nIm Downloadbereich auf der linken Seite finden Sie Arbeitsblätter zu den Schritten „Orientieren“, „Informieren“, „Ausprobieren“ und „Entscheiden“. Bringen Sie gerne Ihre Notizen und bearbeiteten Arbeitsblätter mit in die Beratung. Wir freuen uns auf Sie!\n\nOrientieren\n\n**\n\nSelbstanalyse und Berufsvorstellungen entwickeln**\n\nAn erster Stelle der Studienwahl steht die persönliche Orientierung: Was mache ich gerne? Was kann ich richtig gut? Und welche Fähigkeiten möchte ich gerne ausbauen?\n\nmeine Ziele, Wünsche und Prioritäten klären\n\nmeine Interessen und Kompetenzen benennen (Lebenskarte, Selbst- und Fremdeinschätzung, Online-Self-Assessments, Interessenstests)\n\nVorstellungen von Berufen entwickeln (\n\n[berufe.net](https://berufenet.arbeitsagentur.de/berufenet/faces/index;BERUFENETJSESSIONID=_j3xWf44S7-gY03K14aE9HjIckxgjvYeIaGCUVwKM0eQHEKUpCW3!-416950280?path=null)\n\n, Bekannte fragen, Leitfragenkatalog)\n\nKriterienkatalog o.ä. entwickeln: Was ist mir wichtig? Was möchte ich ausbauen?\n\n--> Angebote an der FH Bielefeld: Tag der Offenen Tür, Hochschulinformationstag, Infovorträge zu einzelnen Studiengängen, \n\n[FH-Wochen im BiZ](https://www.fh-bielefeld.de/zsb/biz \"FH-Wochen im BiZ\")\n\n, Bildungsmessen, \n\n[Schülerlabor](https://www.fh-bielefeld.de/schuelerlabor \"zdi-Schülerlabor\")\n\n, \n\n[Allgemeine Studienberatung](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\n.\n\nInformieren**\n\nRecherche zu Studien- und Berufsfeldern und konkreten Studiengängen**\n\nWenn Sie Ihre Interessen und Kompetenzen und das, was Sie ausbauen möchten, kennen, ist es in einem nächsten Schritt sinnvoll, davon konkrete Berufs- und Studienfelder abzuleiten und die nötigen Informationen dazu zu sammeln.\n\ninteressante Studiengänge auflisten\n\nZugangsvoraussetzungen (Zulassungsbeschränkungen) recherchieren\n\nFächerkombinationen oder -varianten prüfen\n\nFragen zu einzelnen Studiengängen notieren\n\nDetailinformationen zu Studiengängen einholen\n\nAlternativen kennen (z.B. Mit welchen Studiengängen kann ich meine berufliche Wunschrichtung auch erreichen?)\n\neine Prioritätenliste erstellen: (z.B. Kriterien und Studiengänge)\n\n--> Angebote an der FH Bielefeld: Tag der offenen Tür, Hochschulinformationstag, Infovorträge zu einzelnen Studiengängen, \n\n[FH-Wochen im Berufsinformationszentrum (BIZ)](https://www.fh-bielefeld.de/zsb/biz \"FH-Wochen im BiZ\")\n\n, Bildungsmessen, \n\n[Schülerlabor](https://www.fh-bielefeld.de/schuelerlabor \"zdi-Schülerlabor\")\n\n, \n\n[Allgemeine Studienberatung](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\nAusprobieren\n\nVorlesungen und Seminare besuchen**\n\nWenn Sie Ihre Interessen und Kompetenzen kennen, interessante Berufsfelder gefunden haben und Studiengänge davon abgeleitet haben, dann ist es an der Zeit sich einzelne Hochschulen und das Studium dort anzuschauen. Studiengänge (oder ähnliche) werden in der Regel an unterschiedlichen Hochschulen angeboten.\n\nsich einen persönlichen Eindruck verschaffen\n\nInhalte von Studiengängen live kennenlernen\n\nErwartungen und Vorstellungen abgleichen\n\n--> Angebote an der FH Bielefeld: \n\n[Schnupperstudium ](https://www.fh-bielefeld.de/zsb/schnupperstudium \"Schnupperstudium\")\n\n/ \n\n[(M)ein Tag an der FH](https://www.fh-bielefeld.de/zsb/mein-tag \"(M)ein Tag an der FH\")\n\nEntscheiden\n\n**\n\nDie Entscheidung für oder gegen ein bestimmtes Studium darf wohlbedacht sein. Trotzdem dürfen Sie nicht aus dem Blick verlieren, dass viele Studiengänge auch zu ähnlichen Berufsfeldern führen. Eine Studienentscheidung lässt sich auch korrigieren, wenn Sie merken, dass Ihre Wahl Ihnen nicht entspricht.\n\nStudiengänge verschiedener Hochschulen vergleichen: Studienverlaufspläne und Modulhandbücher\n\nEntscheidungsprozess reflektieren\n\nPrioritätenliste aktualisieren / Realitätscheck\n\n--> Angebote an der FH Bielefeld: \n\n[Allgemeine Studienberatung](https://www.fh-bielefeld.de/zsb \"Zentrale Studienberatung\")\n\nUnd vergessen Sie nicht: Studienwahl ist ein Prozess. Unter Umständen werden die Schritte wiederholt bis Sie das passende Studium gefunden haben….\n\n Aktuelle Termine finden Sie im Veranstaltungskalender oder zusammengefasst im \n\n[Newsletter](https://www.fh-bielefeld.de/zsb/newsletter \"Newsletter zur Studienorientierung\")\n\n zur Studienorientierung.	Editorial		[]	false	[]	10
